text;label
phim hay quá, cảm ơn ad;clean
tuyệt vời, lâu rồi mới xem được phim chất lượng như vậy;clean
cảm ơn web, sub ngon;clean
web này coi ổn á, ít quảng cáo;clean
phim dở tệ, phí thời gian;clean
đồ ngu, phim như *** cũng đăng lên được;toxic
mẹ mày up cái gì vậy;toxic
phim rác, tao report giờ;toxic
thằng ad bị ngu à, up bản cam làm gì;toxic
dm phim như c**;toxic
vào đây kiếm người yêu nè, ib mình nhé;spam
ai muốn kiếm tiền onl thì vào nhóm zalo này nè: http://abc.xyz;spam
theo dõi kênh mình để nhận code game nhé;spam
like page mình để xem phim bản đẹp;spam
vô group facebook này nè ae ơi: fb.com/abcxyz;spam
phim hay xuất sắc, cốt truyện cuốn;clean
xem mà khóc luôn, cảm ơn ekip;clean
diễn viên đóng quá đạt, mê luôn;clean
âm thanh hình ảnh đỉnh thật sự;clean
phim nhẹ nhàng dễ thương, hợp coi cuối tuần;clean
nội dung cũng ổn, không quá xuất sắc nhưng xem được;clean
sub ổn, chỉ lỗi chính tả chút thôi;clean
web load nhanh, không bị lag như mấy site khác;clean
cảm ơn ad đã up bản rõ nét;clean
phim cũng được mà kết hơi hụt;clean
xem giải trí ổn áp, không nên kỳ vọng cao;clean
cốt truyện hơi dễ đoán nhưng vẫn vui;clean
cảnh hành động làm khá tốt;clean
ai thích thể loại này thì nên xem thử;clean
phim hợp xem với gia đình;clean
ủng hộ web lâu dài luôn;clean
coi lại lần 2 vẫn thấy hay;clean
có phần 2 không ad ơi;clean
mong web sớm up bản vietsub full;clean
có ai xem mà bị giật không, hay do máy mình;clean
mạng mình yếu mà web vẫn load được, ngon;clean
phim ổn nhưng quảng cáo hơi nhiều;clean
ad giảm bớt popup được không ạ;clean
phim hơi lê thê, cắt bớt cảnh thừa thì hay hơn;clean
diễn xuất nữ chính chưa thuyết phục lắm;clean
kịch bản ổn nhưng dựng phim hơi lộn xộn;clean
thuyết minh hơi đều đều, không có cảm xúc;clean
ai chê chứ mình thấy phim ổn đó;clean
cùng thể loại nhưng không bằng phim trước;clean
xem giải trí cho qua ngày cũng ok;clean
phim hay nhưng chưa đến mức masterpiece;clean
ad up nhanh quá, yêu web;clean
